CardId,Name,OriginalType,ModeCount,ModeIds,Auto
102350,Anticipation,Combat,2,102350:COMBAT:aus|102350:COMBAT:AUS,yes
100075,Antithesis,Action,1,100075:ACTION,yes
100076,Apparition,Combat,2,100076:COMBAT:chi|100076:COMBAT:CHI,yes
100077,Apportation,Combat,2,100077:COMBAT:tha|100077:COMBAT:THA,yes
100078,Approximation of Loyalty,Action Modifier,2,100078:MODIFIER:pre|100078:MODIFIER:PRE,yes
100079,"Aranthebes, The Immortal",Action,1,100079:ACTION,yes
100080,Arcane Appraiser,Ally,1,100080:ALLY,yes
100081,Arcane Library,Master,1,100081:MASTER,yes
100082,"Arcanum Chapterhouse, Alexandria",Master,1,100082:MASTER,yes
100083,Arcanum Investigator,Ally,1,100083:ALLY,yes
100084,Archon,Political Action,1,100084:POLITICAL,yes
100085,Archon Investigation,Master,1,100085:MASTER,yes
100086,Argent Baton,Equipment,1,100086:EQUIPMENT,yes
100087,Armor of Caine's Fury,Combat,3,100087:COMBAT:pre|100087:COMBAT:val|100087:COMBAT:VAL,yes
100088,Armor of Terra,Action,3,100088:ACTION:tha|100088:ACTION:vis|100088:ACTION:VIS,yes
100089,Armor of Vitality,Combat,2,100089:COMBAT:for|100089:COMBAT:FOR,yes
100090,Arms Dealer,Ally,1,100090:ALLY,yes
102275,Arms of Ahriman,Combat,2,102275:COMBAT:obl|102275:COMBAT:OBL,yes
100091,Arms of the Abyss,Combat,2,100091:COMBAT:obt|100091:COMBAT:OBT,yes
100092,Army of Apparitions,Reaction,2,100092:REACTION:chi|100092:REACTION:CHI,yes
100093,Army of Rats,Action,1,100093:ACTION:ani,yes
100094,Arson,Action,1,100094:ACTION,yes
100095,Art Museum,Master,1,100095:MASTER,yes
100096,"Art of Love, The",Master,1,100096:MASTER,yes
100097,"Art of Memory, The",Action Modifier,1,100097:MODIFIER,yes
100098,"Art of Pain, The",Master,1,100098:MASTER,yes
100099,Art Scam,Action,1,100099:ACTION,yes
100100,Art's Traumatic Essence,Action,3,100100:ACTION:aus|100100:ACTION:mel|100100:ACTION:MEL,yes
100101,Artistically Inept,Master,1,100101:MASTER,yes
100102,As the Crow,Action Modifier,1,100102:MODIFIER:FLIGHT,yes
100103,Asanbonsam Ghoul,Ally,1,100103:ALLY,yes
100104,Ascendance,Master,1,100104:MASTER,yes
100105,Ashes to Ashes,Combat,3,100105:COMBAT:for|100105:COMBAT:thn|100105:COMBAT:THN,yes
100106,Ashur Tablets,Master,1,100106:MASTER,yes
100107,Assault Rifle,Equipment,1,100107:EQUIPMENT,yes
100108,Asylum Hunting Ground,Master,1,100108:MASTER,yes
100109,Atonement,Action,1,100109:ACTION,yes
100110,Augur,Action,1,100110:ACTION,yes
102310,Augury of Doom,Action,1,102310:ACTION,yes
100111,Aura Absorption,Action Modifier/Reaction,3,100111:REACTION:aus|100111:REACTION:myt|100111:MODIFIER:MYT,yes
100112,Aura of Invincibility,Action Modifier,1,100112:MODIFIER,yes
100113,Aura Reading,Combat,2,100113:COMBAT:aus|100113:COMBAT:AUS,yes
100114,Auspex,Master,1,100114:MASTER,yes
100115,Autarkis Persecution,Political Action,1,100115:POLITICAL,yes
100116,Auto-da-fé,Political Action,1,100116:POLITICAL,yes
100117,Autonomic Mastery,Combat,2,100117:COMBAT:dom|100117:COMBAT:DOM,yes
100118,Aversion,Reaction,3,100118:REACTION:cel|100118:REACTION:val|100118:REACTION:VAL,yes
100119,Awe,Action Modifier,2,100119:MODIFIER:pre|100119:MODIFIER:PRE,yes
100120,Aye,Master,1,100120:MASTER,yes
100121,Baal's Bloody Talons,Combat,2,100121:COMBAT:qui|100121:COMBAT:QUI,yes
100122,Babble,Reaction,2,100122:REACTION:dem|100122:REACTION:DEM,yes
100123,Backflip,Combat,1,100123:COMBAT,yes
100124,Backstab,Combat,2,100124:COMBAT:cel|100124:COMBAT:CEL,yes
100125,Backstep,Combat,1,100125:COMBAT,yes
100126,Backways,Master,1,100126:MASTER,yes
102218,Bait and Switch,Reaction,1,102218:REACTION,yes
100127,Baleful Doll,Equipment,2,100127:EQUIPMENT:nec|100127:EQUIPMENT:NEC,yes
100128,Baltimore Purge,Action,1,100128:ACTION,yes
100129,Bamba,Action,1,100129:ACTION,yes
100130,Bang Nakh — Tiger's Claws,Equipment,1,100130:EQUIPMENT,yes
100131,Banishment,Political Action,1,100131:POLITICAL,yes
100132,Banner of Neutrality,Reaction,1,100132:REACTION,yes
100133,Banshee Ironwail,Equipment,1,100133:EQUIPMENT,yes
102268,Banu Haqim Justicar,Political Action,1,102268:POLITICAL,yes
100134,Barrenness,Action,2,100134:ACTION:mal|100134:ACTION:MAL,yes
100135,"Barrens, The",Master,1,100135:MASTER,yes
100136,Base Hunting Ground,Master,1,100136:MASTER,yes
100137,Baseball Bat,Equipment,1,100137:EQUIPMENT,yes
100138,Basilisk's Touch,Combat,3,100138:COMBAT:pot|100138:COMBAT:myt|100138:COMBAT:MYT,yes
100139,Bastard Sword,Equipment,1,100139:EQUIPMENT,yes
100140,Bastille Opera House,Master,1,100140:MASTER,yes
100141,Battle Frenzy,Master,1,100141:MASTER,yes
100142,Bauble,Action,2,100142:ACTION:vic|100142:ACTION:VIC,yes
100143,Bay and Howl,Master,1,100143:MASTER,yes
100144,Bear-Baiting,Action Modifier,1,100144:MODIFIER,yes
100145,Bear's Skin,Combat,2,100145:COMBAT:ani+pro|100145:COMBAT:ANI+PRO,yes
100146,Beast Meld,Action Modifier,2,100146:MODIFIER:ani+pro|100146:MODIFIER:ANI+PRO,yes
100147,"Becoming, The",Action,1,100147:ACTION,yes
100148,Becoming of Ennoia,Event,1,100148:EVENT,yes
100149,Behind You!,Combat,2,100149:COMBAT:obf|100149:COMBAT:OBF,yes
100150,Belonging Grants Protection,Action,1,100150:ACTION,yes
100151,Benefit Performance,Political Action,1,100151:POLITICAL,yes
100152,Beretta 9mm,Equipment,1,100152:EQUIPMENT,yes
100153,Bestial Vengeance,Combat,2,100153:COMBAT:ani|100153:COMBAT:ANI,yes
100154,Bestial Visage,Master,1,100154:MASTER,yes
100155,Bestow Vigor,Action,2,100155:ACTION:for|100155:ACTION:FOR,yes
100156,Betrayer,Master,1,100156:MASTER,yes
100157,Bewitching Oration,Action Modifier,2,100157:MODIFIER:pre|100157:MODIFIER:PRE,yes
100158,Beyond Reproach,Political Action,1,100158:POLITICAL,yes
100159,Big Game,Action,1,100159:ACTION,yes
100160,Bima,Ally,1,100160:ALLY,yes
100161,Bind the Night-Walker,Reaction,1,100161:REACTION,yes
102287,Biotech Company Hunting Ground,Master,1,102287:MASTER,yes
100162,Biothaumaturgic Experiment,Action,2,100162:ACTION:tha|100162:ACTION:THA,yes
100163,"Bitter and Sweet Story, The",Event,1,100163:EVENT,yes
100164,"Black Beast, The",Combat,1,100164:COMBAT,yes
100165,Black Forest Base,Master,1,100165:MASTER,yes
100166,Black Gloves,Equipment,1,100166:EQUIPMENT,yes
100167,Black Hand Emissary,Action,1,100167:ACTION,yes
100168,Black Hand Ritual,Action,1,100168:ACTION,yes
102351,Black Market Cache,Master,1,102351:MASTER,yes
100169,Black Metamorphosis,Action,2,100169:ACTION:obt|100169:ACTION:OBT,yes
100170,Black Spiral Buddy,Ally,1,100170:ALLY,yes
100171,Black Sunrise,Reaction,2,100171:REACTION:qui|100171:REACTION:QUI,yes
100172,"Black Throne, The",Master,1,100172:MASTER,yes
100173,Blackmail,Action,2,100173:ACTION:obf|100173:ACTION:OBF,yes
100174,Blade Clot,Action Modifier/Combat,2,100174:MODIFIER|100174:COMBAT,no
100175,Blade of Bellona,Equipment,1,100175:EQUIPMENT,yes
100176,Blade of Enoch,Equipment,1,100176:EQUIPMENT,yes
100177,Blanket of Night,Action Modifier,2,100177:MODIFIER:obt|100177:MODIFIER:OBT,yes
100178,Bleeding the Vine,Master,1,100178:MASTER,yes
100179,Blessed Audience,Action,3,100179:ACTION:aus|100179:ACTION:mel|100179:ACTION:MEL,yes
100180,Blessed Blade,Combat,3,100180:REFLEX:val|100180:COMBAT:val|100180:COMBAT:VAL,yes
100181,Blessed Resilience,Master,1,100181:MASTER,yes
100182,Blessing of Chaos,Action,2,100182:ACTION:dem|100182:ACTION:DEM,yes
100183,Blessing of Durga Syn,Combat,2,100183:COMBAT:chi|100183:COMBAT:CHI,yes
100184,Blessing of the Beast,Master,1,100184:MASTER,yes
100185,Blessing of the Name,Action,1,100185:ACTION,yes
100186,Blessings of the Loa,Master,1,100186:MASTER,yes
100187,Blight,Combat,2,100187:COMBAT:nec|100187:COMBAT:NEC,yes
100188,Blind Spot,Master,1,100188:MASTER,yes
100189,Bliss,Combat/Reaction,3,100189:COMBAT:dom+pre|100189:REACTION:dom+pre|100189:COMBAT:DOM+PRE,yes
100190,Blissful Agony,Combat,3,100190:COMBAT:ani|100190:COMBAT:val|100190:COMBAT:VAL,yes
100191,Blithe Acceptance,Action,2,100191:ACTION:obf|100191:ACTION:OBF,yes
100192,Blood Agony,Combat,2,100192:COMBAT:qui|100192:COMBAT:QUI,yes
100193,Blood Awakening,Action Modifier/Reaction,2,100193:REACTION:qui|100193:MODIFIER:QUI,yes
100194,Blood Bond,Action,1,100194:ACTION,yes
100195,Blood Brother Ambush,Action Modifier,1,100195:MODIFIER,yes
100196,Blood Buff,Master,1,100196:MASTER,yes
100197,Blood Clots,Action,2,100197:ACTION:qui|100197:ACTION:QUI,yes
100198,Blood Cult Awareness Network,Event,1,100198:EVENT,yes
100199,Blood Doll,Master,1,100199:MASTER,yes
100200,Blood Feast,Action,1,100200:ACTION,yes
100201,Blood Fury,Combat,2,100201:COMBAT:tha|100201:COMBAT:THA,yes
100202,Blood Hunt,Action,1,100202:ACTION,yes
100203,Blood of Acid,Combat,2,100203:COMBAT:vic|100203:COMBAT:VIC,yes
100204,Blood of Sandman,Action,2,100204:ACTION:tha|100204:ACTION:THA,yes
100205,Blood of the Cobra,Combat,2,100205:COMBAT:qui|100205:COMBAT:QUI,yes
100206,Blood of the Sabbat,Action,1,100206:ACTION,yes
100207,Blood Puppy,Master,1,100207:MASTER,yes
100208,Blood Rage,Combat,2,100208:COMBAT:tha|100208:COMBAT:THA,yes
100209,Blood Shield,Equipment,1,100209:EQUIPMENT,yes
100210,Blood Siege,Political Action,1,100210:POLITICAL,yes
100211,Blood Sweat,Combat,2,100211:COMBAT:qui|100211:COMBAT:QUI,yes
100212,Blood Tears of Kephran,Equipment,1,100212:EQUIPMENT,yes
100213,Blood Tempering,Action,2,100213:ACTION:for+qui|100213:ACTION:FOR+QUI,yes
100214,Blood to Water,Combat,2,100214:COMBAT:tha|100214:COMBAT:THA,yes
100215,Blood Trade,Event,1,100215:EVENT,yes
100216,Blood Turnip,Master,1,100216:MASTER,yes
100217,Blood Weakens,Event,1,100217:EVENT,yes
100218,Bloodbath,Action,1,100218:ACTION,yes
100219,Bloodform,Combat,2,100219:COMBAT:vic|100219:COMBAT:VIC,yes
100220,Blooding,Action,1,100220:ACTION,yes
100221,Blooding by the Code,Master,1,100221:MASTER,yes
100222,Bloodlust,Action,2,100222:ACTION:pre|100222:ACTION:PRE,yes
100223,Bloodstone,Equipment,1,100223:EQUIPMENT,yes
100224,Bloodstorm of Chorazin,Reaction,1,100224:REACTION,yes
100225,Bloodwork,Action,1,100225:ACTION,yes
100226,Blow Torch,Equipment,1,100226:EQUIPMENT,yes
100227,Blur,Combat,2,100227:COMBAT:cel|100227:COMBAT:CEL,yes
100228,Body Arsenal,Combat,2,100228:COMBAT:vic|100228:COMBAT:VIC,yes
100229,Body Bag,Equipment,1,100229:EQUIPMENT,yes
100230,Body Flare,Combat,2,100230:COMBAT:pro|100230:COMBAT:PRO,yes
100231,Body of Sun,Combat,2,100231:COMBAT:pro|100231:COMBAT:PRO,yes
100232,Bollix,Combat,3,100232:COMBAT:cel|100232:COMBAT:pre|100232:COMBAT:tha,yes
100233,Bomb,Equipment,1,100233:EQUIPMENT,yes
100234,Bond,Action,1,100234:ACTION,yes
100235,Bond with the Mountain,Combat,3,100235:COMBAT:tha|100235:COMBAT:vis|100235:COMBAT:VIS,yes
100236,Bonding,Action Modifier,2,100236:MODIFIER:dom|100236:MODIFIER:DOM,yes
102293,Bone Shambler,Ally,2,102293:ALLY:obl|102293:ALLY:OBL,yes
100237,Bone Spur,Combat,2,100237:COMBAT:pro|100237:COMBAT:PRO,yes
100238,Bonecraft,Combat,2,100238:COMBAT:vic|100238:COMBAT:VIC,yes
100239,"Book of Going Forth by Night, The",Equipment,1,100239:EQUIPMENT,yes
100240,Border Skirmish,Action,1,100240:ACTION,yes
100241,Botched Move,Combat,1,100241:COMBAT,yes
100242,Bounty,Master,1,100242:MASTER,yes
100243,Bowl of Convergence,Equipment,1,100243:EQUIPMENT,yes
100244,Boxed In,Combat,1,100244:COMBAT,yes
100245,Brainwash,Master,1,100245:MASTER,yes
100246,Brass Knuckles,Equipment,1,100246:EQUIPMENT,yes
100247,Bravo,Master,1,100247:MASTER,yes
102247,Break the Bonds,Action,3,102247:ACTION:ani|102247:ACTION:obf|102247:ACTION:pre,yes
100248,Break the Code,Event,1,100248:EVENT,yes
100249,Breath of Thanatos,Action Modifier/Combat,2,100249:MODIFIER:nec|100249:COMBAT:NEC,yes
100250,Breath of the Dragon,Combat,2,100250:COMBAT:vic|100250:COMBAT:VIC,yes
100251,Bribes,Action Modifier,1,100251:MODIFIER,yes
100252,Brick by Brick,Combat,3,100252:COMBAT:tha|100252:COMBAT:vis|100252:COMBAT:VIS,yes
100253,Brick Laying,Action,2,100253:ACTION:pot|100253:ACTION:POT,yes
100254,Brigitte Gebauer,Ally,1,100254:ALLY,yes
100255,Brinksmanship,Political Action,1,100255:POLITICAL,yes
102236,"British Museum, London, The",Master,1,102236:MASTER,yes
100256,Brother in Arms,Action,1,100256:ACTION,yes
100257,Brother's Blood,Combat,2,100257:COMBAT:san|100257:COMBAT:SAN,yes
100258,Brothers Grimm,Master,1,100258:MASTER,yes
100259,"Bruisers, The",Ally,1,100259:ALLY,yes
100260,Brujah Debate,Master,1,100260:MASTER,yes
100261,Brujah Frenzy,Master,1,100261:MASTER,yes
100262,Brujah Justicar,Political Action,1,100262:POLITICAL,yes
100263,Brutal Influence,Action,2,100263:ACTION:pot|100263:ACTION:POT,yes
100264,Brute Force,Combat,2,100264:COMBAT:pot|100264:COMBAT:POT,yes
100265,Bujo,Action,1,100265:ACTION,yes
100266,Bum's Rush,Action,1,100266:ACTION,yes
100267,Bundi,Equipment,1,100267:EQUIPMENT,yes
100268,Burden the Mind,Master,1,100268:MASTER,yes
100269,Bureaucratic Overload,Master,1,100269:MASTER,yes
102311,Burial Site Hunting Ground,Master,1,102311:MASTER,yes
100270,Burning Touch,Action Modifier/Combat,3,100270:COMBAT:tha|100270:MODIFIER:val|100270:MODIFIER:VAL,yes
100271,Burning Wrath,Combat,2,100271:COMBAT:pot|100271:COMBAT:POT,yes
100272,Burnt Offerings,Reaction,2,100272:REACTION:aus|100272:REACTION:AUS,yes
100273,Burst of Sunlight,Combat,2,100273:COMBAT:tha|100273:COMBAT:THA,yes
100274,Business Pressure,Action Modifier,2,100274:MODIFIER:pre|100274:MODIFIER:PRE,yes
100275,Cadet,Master,1,100275:MASTER,yes
100276,Caiaphas Smith,Ally,1,100276:ALLY,yes
100277,Cairo Int'l Airport,Master,1,100277:MASTER,yes
100278,"Call, The",Action,2,100278:ACTION:aus+dem|100278:ACTION:AUS+DEM,yes
100279,Call of the Hungry Dead,Action Modifier,2,100279:MODIFIER:nec|100279:MODIFIER:NEC,yes
100280,Call the Great Beast,Action,1,100280:ACTION,yes
100281,Call the Lamprey,Combat,2,100281:COMBAT:obt|100281:COMBAT:OBT,yes
100282,Call the Wild Hunt,Combat,2,100282:COMBAT:ani+pro|100282:COMBAT:ANI+PRO,yes
100283,Camaraderie,Reaction,2,100283:REACTION:san|100283:REACTION:SAN,yes
102269,Camarilla Conclave,Master,1,102269:MASTER,yes
100284,Camarilla Exemplary,Political Action,1,100284:POLITICAL,yes
100285,Camarilla Threat,Political Action,1,100285:POLITICAL,yes
100286,Camarilla Vitae Slave,Retainer,1,100286:RETAINER,yes
102270,Camarilla's Iron Fist,Political Action,1,102270:POLITICAL,yes
100287,Camera Phone,Equipment,1,100287:EQUIPMENT,yes
100288,Campground Hunting Ground,Master,1,100288:MASTER,yes
100289,Can't Take it with You,Political Action,1,100289:POLITICAL,yes
100290,Canine Horde,Combat,2,100290:COMBAT:ani|100290:COMBAT:ANI,yes
100291,Canopic Jar,Equipment,2,100291:EQUIPMENT:ser|100291:EQUIPMENT:SER,yes
100292,Capitalist,Master,1,100292:MASTER,yes
102298,Cappadocian Crypt,Master,1,102298:MASTER,yes
100293,Car Bomb,Reaction,1,100293:REACTION,yes
100294,Cardinal Benediction,Political Action,1,100294:POLITICAL,yes
100295,Cardinal Sin: Failure of Mission,Reaction,1,100295:REACTION,yes
100296,Cardinal Sin: Insubordination,Reaction,1,100296:REACTION,yes
100297,Carfax Abbey,Master,1,100297:MASTER,yes
100298,Carlton Van Wyk,Ally,1,100298:ALLY,yes
100299,Carnivale,Master,1,100299:MASTER,yes
100300,Carrion Coffin,Action,2,100300:ACTION:pro|100300:ACTION:PRO,yes
100301,Carrion Crows,Combat,2,100301:COMBAT:ani|100301:COMBAT:ANI,yes
100302,Carthage Remembered,Master,1,100302:MASTER,yes
100303,Carver's Meat Packing and Storage,Master,1,100303:MASTER,yes
100304,Caseless Rounds,Combat,1,100304:COMBAT,yes
100305,Cat Burglary,Action,2,100305:ACTION:cel|100305:ACTION:CEL,yes
100306,Catacombs,Equipment,1,100306:EQUIPMENT,yes
100307,Catatonic Fear,Combat,2,100307:COMBAT:pre|100307:COMBAT:PRE,yes
100308,Cats' Guidance,Reaction,2,100308:REACTION:ani|100308:REACTION:ANI,yes
100309,Cauldron of Blood,Combat,2,100309:COMBAT:tha|100309:COMBAT:THA,yes
100310,Cavalier,Master,1,100310:MASTER,yes
100311,Cave of Apples,Master,1,100311:MASTER,yes
100312,Celerity,Master,1,100312:MASTER,yes
100313,Celestial Harmony,Action,2,100313:ACTION:aus|100313:ACTION:AUS,yes
100314,Census Taker,Master,1,100314:MASTER,yes
100315,Centralized Background Check,Master,1,100315:MASTER,yes
100316,Chain of Command,Action,2,100316:ACTION:dom|100316:ACTION:DOM,yes
100317,Chainsaw,Equipment,1,100317:EQUIPMENT,yes
100318,Chair of Hades,Action,2,100318:ACTION:nec|100318:ACTION:NEC,yes
100319,Chalice of Kinship,Equipment,1,100319:EQUIPMENT,yes
100320,Chameleon,Action,1,100320:ACTION,yes
100321,Chameleon's Colors,Combat,3,100321:COMBAT:ani|100321:COMBAT:spi|100321:COMBAT:SPI,yes
100322,Champion,Power,1,100322:REACTION,yes
100323,Change of Target,Action Modifier,1,100323:MODIFIER,yes
100324,Changeling,Action Modifier,2,100324:MODIFIER:vic|100324:MODIFIER:VIC,yes
100325,Changeling Skin Mask,Equipment,1,100325:EQUIPMENT,yes
100326,Chanjelin Ward,Master,1,100326:MASTER,yes
100327,Channel 10,Master,1,100327:MASTER,yes
100328,Channeling the Beast,Combat,1,100328:COMBAT,yes
100329,Chantry,Master,1,100329:MASTER,yes
100330,Charge of the Buffalo,Action,3,100330:ACTION:for|100330:ACTION:spi|100330:ACTION:SPI,yes
100331,"Charigger, The Axe",Retainer,1,100331:RETAINER,yes
100332,Charisma,Master,1,100332:MASTER,yes
100333,Charismatic Aura,Combat,2,100333:COMBAT:aus+pre|100333:COMBAT:AUS+PRE,yes
100334,Charming Lobby,Action,2,100334:ACTION:pre|100334:ACTION:PRE,yes
100335,Charnas the Imp,Retainer,1,100335:RETAINER,yes
100336,Cheat the Fates,Action,3,100336:ACTION:pre|100336:ACTION:tem|100336:ACTION:TEM,yes
100337,Cheval de Bataille,Action Modifier,1,100337:MODIFIER,yes
102246,Childe of the Revolution,Action,1,102246:ACTION,yes
100338,Childling Muse,Retainer,1,100338:RETAINER,yes
100339,Children of Osiris,Master,1,100339:MASTER,yes
100340,Children of Stone,Action,3,100340:ACTION:tha|100340:ACTION:vis|100340:ACTION:VIS,yes
100341,Chill of Oblivion,Action,2,100341:ACTION:nec|100341:ACTION:NEC,yes
100342,Chimerstry,Master,1,100342:MASTER,yes
100343,Chiram's Hold,Combat,1,100343:COMBAT,yes
100344,Chiropteran Marauder,Combat,2,100344:COMBAT:vic|100344:COMBAT:VIC,yes
100345,Choir,Action,2,100345:ACTION:mel|100345:ACTION:MEL,yes
100346,Chronicle of the Lost Tribe,Action,1,100346:ACTION,yes
100347,Church of the Order of St. Blaise,Master,1,100347:MASTER,yes
100348,"Church of Vindicated Faith, The",Master,1,100348:MASTER,yes
100349,Circle,Combat,1,100349:COMBAT,yes
100350,Circumspect Revelation,Action Modifier,1,100350:MODIFIER,yes
100351,City Gangrel Connections,Master,1,100351:MASTER,yes
102234,City Star Taxi,Ally,1,102234:ALLY,yes
100352,Claiming the Body,Action Modifier,2,100352:MODIFIER:san|100352:MODIFIER:SAN,yes
100353,Clan Impersonation,Action,1,100353:ACTION,yes
100354,Clan Loyalty,Action Modifier,1,100354:MODIFIER,yes
100355,Clandestine Contract,Action,1,100355:ACTION,yes
100356,Claws of the Dead,Combat,2,100356:COMBAT:pro|100356:COMBAT:PRO,yes
100357,Cleansing Ritual,Action,3,100357:ACTION:dom|100357:ACTION:obe|100357:ACTION:OBE,yes
100358,Cleave,Combat,1,100358:COMBAT,yes
100359,Clio's Kiss,Action,3,100359:ACTION:dom|100359:ACTION:tem|100359:ACTION:TEM,yes
100360,Cloak of Blood,Action,1,100360:ACTION,yes
100361,Cloak of the Abalone,Equipment,1,100361:EQUIPMENT,yes
100362,Cloak the Gathering,Action Modifier,2,100362:MODIFIER:obf|100362:MODIFIER:OBF,yes
100363,Clockwerx,Combat,2,100363:COMBAT:san|100363:COMBAT:SAN,yes
100364,Closed Session,Action Modifier,1,100364:MODIFIER,yes
100365,Clotho's Gift,Action,3,100365:ACTION:obf|100365:ACTION:tem|100365:ACTION:TEM,yes
100366,Club Illusion,Master,1,100366:MASTER,yes
