CardId,ModeId,Name,OriginalType,DeclaredType,ClanRequirement,PathRequirement,SourceDiscipline,PoolCost,BloodCost,ConvictionCost,BurnOption,DisciplineRequirement,Level,CardText,Transformed,Auto
100009,100009:MASTER,Abombwe,Master,Master,,,,,,,,,none,"Master: Discipline. Trifle.
Put this card on a Laibon or on a vampire with Protean [pro]. This vampire gains one level of Abombwe [abo]. Capacity increases by 1: the vampire is one generation older. Cannot be placed on a vampire with superior Abombwe [ABO].",no,yes
100010,100010:ACTION,Abomination,Action,Action,,,,1,,,,,none,"+1 stealth action. Requires a ready non-sterile vampire.
Burn a ready unlocked werewolf ally you control to put this card in play. It becomes a unique Independent Abomination with 4 capacity, superior Protean [PRO] and +1 strength. Move up to 4 blood from the acting vampire to this vampire. This vampire gets an additional strike (limited) each round and an optional maneuver each combat. He may enter combat with a ready minion as a (D) action.",no,yes
100011,100011:EVENT,Absimiliard's Army,Event,Event,,,,,,,,,none,"Gehenna. Requires 1 or more other Gehenna events in play. Do not replace until a Methuselah is ousted.
During each Methuselah's unlock phase, that Methuselah can put the top card of their library in play (face up); it becomes a nameless, textless ghoul ally with 2 life, 2 strength and 1 bleed. After that ally is burned or this event leaves play, remove that ally from the game. After a Methuselah is ousted, burn this card.",no,yes
102308,102308:MODIFIER:pot+pre,Absolute Tyranny,Action Modifier/Reaction,Action Modifier,,Power and the Inner Voice,Potence & Presence,,1,,,pot+pre,inferior,"Only usable during the polling step of a political action.
This vampire gets +3 votes.",no,no
102308,102308:REACTION:pot+pre,Absolute Tyranny,Action Modifier/Reaction,Reaction,,Power and the Inner Voice,Potence & Presence,,1,,,pot+pre,inferior,"Only usable during the polling step of a political action.
This vampire gets +3 votes.",no,no
102308,102308:MODIFIER:POT+PRE,Absolute Tyranny,Action Modifier/Reaction,Action Modifier,,Power and the Inner Voice,Potence & Presence,,1,,,POT+PRE,superior,"Only usable during the polling step of a political action.
Vampires who do not follow the Path of Power and the Inner Voice get -1 vote.",no,no
102308,102308:REACTION:POT+PRE,Absolute Tyranny,Action Modifier/Reaction,Reaction,,Power and the Inner Voice,Potence & Presence,,1,,,POT+PRE,superior,"Only usable during the polling step of a political action.
Vampires who do not follow the Path of Power and the Inner Voice get -1 vote.",no,no
100012,100012:MASTER,Absolution of the Diabolist,Master,Master,,,,1,,,,,none,"Master: out-of-turn.
Requires a ready justicar or Inner Circle member. This card is playable during your minion phase. Only usable when a vampire is about to be burned by a blood hunt. Cancel that blood hunt.",no,yes
100013,100013:COMBAT:dom,Absorb the Mind,Combat,Combat,,,Mytherceria/Dominate,,,,,dom,inferior,Strike: dodge.,no,yes
100013,100013:COMBAT:myt,Absorb the Mind,Combat,Combat,,,Mytherceria/Dominate,,,,,myt,inferior,Strike: ranged. Steal 1 blood.,no,yes
100013,100013:COMBAT:MYT,Absorb the Mind,Combat,Combat,,,Mytherceria/Dominate,,,,,MYT,superior,Strike: ranged. Steal 1 blood and steal 1 master: Discipline card from the opposing vampire (put it on this striking vampire).,no,yes
102309,102309:ACTION,Abuse of Power,Action,Action,,Caine,,,,,,,none,"+1 stealth action.
(D) Enter combat with a minion. At the end of that combat, if only one combatant is ready, the controller of the opposing minion burns 1 pool.",no,yes
100014,100014:ALLY,Abyssal Hunter,Ally,Ally,Lasombra,,,2,,,,,none,"Demon with 4 life. 3 strength, 0 bleed.
Abyssal Hunter can inflict 1 damage on any minion as a (D) action. During your unlock phase, Abyssal Hunter inflicts 1 damage on a ready vampire you control. Burn Abyssal Hunter if any ranged aggravated damage is inflicted on it (even if prevented).",no,yes
100015,100015:MASTER,Academic Hunting Ground,Master,Master,Tremere,,,2,,,,,none,"Unique location. Hunting ground.
During your unlock phase, a ready vampire you control can gain 1 blood. A vampire can gain blood from only one hunting ground each turn.",no,yes
100016,100016:MODIFIER,Acheron Vortex,Action Modifier,Action Modifier,Harbinger of Skulls,,,,,,,,none,Minions without Necromancy [nec] or Obtenebration [obt] get -1 intercept.,no,yes
100017,100017:MASTER,Achilles' Heel,Master,Master,Blood Brother,,,,,,,,none,"Unique.
Put this card on a vampire controlled by another Methuselah and choose a circle. While this vampire is in torpor, Blood Brothers of the chosen circle get +1 bleed against this vampire's controller. Any minion can burn this card as a (D) action.",no,yes
100018,100018:MASTER,Aching Beauty,Master,Master,Toreador,,,2,,,,,none,"Put this card on a Toreador. If this Toreador is blocked, the blocking minion's controller burns 1 pool before block resolution.",no,yes
100019,100019:MASTER,Acquired Ventrue Assets,Master,Master,Giovanni,,,,,,,,none,"Put this card in play with 1 blood for each Giovanni you control. During your master phase, you can move 1 blood from this card to a Giovanni you control. Burn this card if it has no blood. Any non-Ventrue minion can burn this card as a (D) action.",no,yes
100020,100020:COMBAT:cel,Acrobatics,Combat,Combat,,,Celerity,,1,,,cel,inferior,Additional strike (limited).,no,yes
100020,100020:COMBAT:CEL,Acrobatics,Combat,Combat,,,Celerity,,1,,,CEL,superior,"Strike: dodge, with an additional strike (limited).",no,yes
100021,100021:COMBAT:pro,Adaptability,Combat,Combat,,,Protean,,1,,,pro,inferior,This vampire treats all aggravated damage from the opposing minion's strike as normal damage.,no,yes
100021,100021:COMBAT:PRO,Adaptability,Combat,Combat,,,Protean,,1,,,PRO,superior,Prevent all aggravated damage from the opposing minion's strike.,no,yes
100022,100022:MODIFIER:ani,Adhocracy,Action Modifier,Action Modifier,,,Animalism/Chimerstry/Potence,,,,,ani,inferior,"Requires an Anarch.
Only usable during a bleed action. +1 bleed (limited).",no,yes
100022,100022:MODIFIER:chi,Adhocracy,Action Modifier,Action Modifier,,,Animalism/Chimerstry/Potence,,,,,chi,inferior,"Requires an Anarch.
Only usable during the polling step of a political action. This Anarch gets +3 votes.",no,yes
100022,100022:MODIFIER:pot,Adhocracy,Action Modifier,Action Modifier,,,Animalism/Chimerstry/Potence,,,,,pot,inferior,"Requires an Anarch.
If this Anarch is blocked, they get +1 strength during the resulting combat.",no,yes
100023,100023:MASTER,"Admonitions, The",Master,Master,,,,,,,,,none,"Unique master.
Put this card in play. Lock to discard one card if you control a ready Sabbat vampire. Lock to draw two cards if you control a ready Black Hand vampire. During your discard phase, control of The Admonitions passes counter-clockwise until it is controlled by a Methuselah who controls a ready Sabbat vampire (or is burned if there are none).",no,yes
100024,100024:EQUIPMENT,Agate Talisman,Equipment,Equipment,,,,,,,,,none,"Only usable by a vampire with capacity 4 or more.
The bearer can lock this card during the polling step of any referendum before votes and ballots are cast to get +1 vote. A vampire can have only one Agate Talisman.",no,yes
100025,100025:MASTER,Agent of Power,Master,Master,,,,,,,,,none,"Master: Discipline. Trifle. Unique.
Put this card on a vampire you control and choose a Discipline. This vampire gains 1 level of that Discipline. Burn this card during your discard phase.",no,yes
102286,102286:ALLY,Aggressive Corpse,Ally,Ally,Hecata,,,,2,,,,none,"Zombie with 3 life. 2 strength, 0 bleed.
This ally can enter combat with a minion as a (D) action. This ally cannot be the target of directed actions requiring Dominate [dom] or Presence [pre]. In combat, strikes made by this ally cannot be dodged. This ally cannot gain life (instead, any life it would gain goes to the blood bank).",no,yes
100026,100026:MASTER,Aggressive Tactics,Master,Master,,,,2,,,,,none,"Master.
Put this card in play and choose a Methuselah. While this card is in play, the chosen Methuselah's hand size is reduced by one. Any vampire may burn this card as a (D) action.",no,yes
100027,100027:COMBAT:obt,Ahriman's Demesne,Combat,Combat,,,Obtenebration,,2,,,obt,inferior,"Only usable at long range. Not usable during the first round of combat.
Strike: 1R aggravated damage.",no,yes
100027,100027:COMBAT:OBT,Ahriman's Demesne,Combat,Combat,,,Obtenebration,,2,,,OBT,superior,"Only usable at long range. Not usable during the first round of combat.
Strike: 1R aggravated damage, and if the opposing vampire would go to torpor during the resolution of this strike, instead they are burned.",no,yes
100028,100028:ACTION,Ahrimane Protectorate,Action,Action,Ahrimane,,,,,,,,none,"+1 stealth action. Unique.
Put this card in play, and this Ahrimane may burn 1 blood to unlock at the end of the action. You may burn this card to cause an action directed at an ally or location you control to fail. You may burn this card during an action against you to give an Ahrimane you control +1 intercept.",no,yes
100029,100029:COMBAT:ani,Aid from Bats,Combat,Combat,,,Animalism,,,,,ani,inferior,"Strike: 1R damage, with 1 optional maneuver.",no,yes
100029,100029:COMBAT:ANI,Aid from Bats,Combat,Combat,,,Animalism,,,,,ANI,superior,"Strike: 1R damage, with 1 optional maneuver, with 1 optional press.",no,yes
100030,100030:ACTION:dom,"Ailing Spirit, The",Action,Action,,,Obeah/Dominate,,,,,dom,inferior,(D) Bleed with +1 bleed.,no,yes
100030,100030:ACTION:obe,"Ailing Spirit, The",Action,Action,,,Obeah/Dominate,,,,,obe,inferior,"(D) Bleed with +1 bleed. Vampires with Dementation [dem], mortals, and mages get -1 intercept during this action.",no,yes
100030,100030:ACTION:OBE,"Ailing Spirit, The",Action,Action,,,Obeah/Dominate,,,,,OBE,superior,"+1 stealth action. (D) Take control of a Malkavian, Malkavian antitribu, mortal, or mage until the end of the turn.",no,yes
100031,100031:MODIFIER:pre,Aire of Elation,Action Modifier,Action Modifier,,,Presence,,1,,,pre,inferior,"Only usable during a bleed action.
+1 bleed, with an additional +1 bleed if this vampire is Toreador (limited).",no,yes
100031,100031:MODIFIER:PRE,Aire of Elation,Action Modifier,Action Modifier,,,Presence,,1,,,PRE,superior,"Only usable during a bleed action.
+2 bleed, with an additional +1 bleed if this vampire is Toreador (limited).",no,yes
100032,100032:EQUIPMENT,AK-47,Equipment,Equipment,,,,5,,,,,none,"Weapon: gun.
Strike: 2R damage, with 1 optional maneuver each combat. After the bearer strikes with this gun, they get 1 optional additional strike (limited), only usable to strike with this gun, this round.",no,yes
100033,100033:ALLY,"Akhenaten, The Sun Pharaoh",Ally,Ally,,,,4,,,,,none,"Unique mummy with 3 life. 3 strength, 1 bleed.
Akhenaten can play cards requiring basic Necromancy [nec] as a 3-capacity vampire. In combat with a Follower of Set, any damage he inflicts is aggravated. Akhenaten can burn himself to burn a Follower of Set controlled by your prey as a (D) action. If he is burned, shuffle him into his owner's library.",no,yes
100034,100034:MODIFIER,Akunanse Kholo,Action Modifier/Reaction,Action Modifier,Akunanse,,,,,,,,none,"Only usable during a referendum. Usable by a locked vampire. Title.
Put this card on this Laibon Akunanse to represent the unique Laibon title of Akunanse Kholo (worth 2 votes). Not usable if there are any older ready untitled Laibon Akunanse. Whenever this vampire is not a ready Laibon Akunanse or there is an older ready untitled Laibon Akunanse, move this card to (one of) the oldest ready untitled Laibon Akunanse (if any).",no,no
100034,100034:REACTION,Akunanse Kholo,Action Modifier/Reaction,Reaction,Akunanse,,,,,,,,none,"Only usable during a referendum. Usable by a locked vampire. Title.
Put this card on this Laibon Akunanse to represent the unique Laibon title of Akunanse Kholo (worth 2 votes). Not usable if there are any older ready untitled Laibon Akunanse. Whenever this vampire is not a ready Laibon Akunanse or there is an older ready untitled Laibon Akunanse, move this card to (one of) the oldest ready untitled Laibon Akunanse (if any).",no,no
100035,100035:MASTER,Al's Army Apparatus,Master,Master,Brujah,,,,,,,,none,"Master: unique location.
During your minion phase, you may lock this card to search your library for a weapon and move it to your hand (shuffle and discard afterward).",no,yes
100036,100036:MODIFIER:cel,Alacrity,Action Modifier,Action Modifier,,,Celerity,,2,,,cel,inferior,+1 stealth.,no,yes
100036,100036:MODIFIER:CEL,Alacrity,Action Modifier,Action Modifier,,,Celerity,,2,,,CEL,superior,"+1 stealth, and if this action is blocked, this acting vampire gets an optional maneuver during the first round of the resulting combat.",no,yes
100037,100037:MASTER,Alamut,Master,Master,Assamite,,,1,,,,,none,"Unique location.
After an Assamite you control successfully bleeds a Methuselah, put the pool lost by that Methuselah on this card. During the polling step of a political action, you can burn X counters from this card to give a vampire you control +X votes.",no,yes
100038,100038:POLITICAL,Alastor,Political Action,Political Action,,,,,,,,,none,"Requires a justicar or Inner Circle member.
Choose a ready Camarilla vampire. Successful referendum means you search your library for an equipment card and put this card and the equipment on the chosen vampire (ignore requirements; shuffle afterward); pay half the cost rounded down of the equipment. The attached vampire can enter combat with a vampire as a +1 stealth (D) action. The attached vampire cannot commit diablerie. A vampire can have only one Alastor.",no,yes
100039,100039:ALLY,"Alia, God's Messenger",Ally,Ally,,,,,,,,,none,"Unique dhampir with 2 life. 1 strength, 0 bleed. Requires 2 or more Gehenna events in play.
Alia can play cards requiring basic Auspex [aus] and/or basic Obeah [obe] as a vampire. She can move a vampire from your torpor region to your ready region as a +1 stealth action. Actions directed at her cost +1 pool.",no,yes
100040,100040:COMBAT:ani+for,Alpha Glint,Combat,Combat,,,Animalism & Fortitude,,1,,,ani+for,inferior,"Not usable in combat with an ally or an older vampire.
Strike: combat ends.",no,yes
100040,100040:COMBAT:ANI+FOR,Alpha Glint,Combat,Combat,,,Animalism & Fortitude,,1,,,ANI+FOR,superior,"Not usable in combat with an ally or an older vampire.
Only usable before range is determined. Combat ends.",no,yes
100041,100041:MASTER,Alvusia,Master,Master,Tremere,,,,,,,,none,"Unique.
Put this card in play with 1 counter for each Tremere and Gargoyle you control. During an action, you can burn 1 counter from this card to give a slave Gargoyle you control +1 bleed or +1 strength. Add 1 counter on this card after a Tremere or Gargoyle enters play during your influence phase. Burn this card if it has no counters.",no,yes
100042,100042:ALLY,Amam the Devourer,Ally,Ally,Follower of Set,,,2,,,,,none,"Unique mummy with 3 life. 2 strength, 0 bleed.
Amam can enter combat with a minion as a (D) action. Amam can burn a vampire in torpor to gain 1 life as a (D) action. If a minion opposing Amam in combat is burned, Amam can gain 1 life. If Amam is burned, shuffle him into his owner's library.",no,yes
100043,100043:COMBAT,Amaranth,Combat,Combat,,,,,,,,,none,Only usable by a vampire who can commit diablerie. Only usable when the opposing vampire should go to torpor. Diablerize the opposing vampire instead. Not usable by a vampire being burned or going to torpor.,no,yes
100044,100044:ALLY,"Ambrosius, The Ferryman",Ally,Ally,Giovanni,,,3,,,,,none,"Unique wraith with 2 life. 1 strength, 0 bleed.
Ambrosius can move a retainer from your ash heap to a ready vampire you control and put 3 pathos counters on that retainer as an action. During your unlock phase, burn 1 pathos counter from that retainer. Remove the retainer from the game if it has no pathos counters. Ambrosius is immune to non-aggravated damage.",no,yes
100045,100045:EQUIPMENT,Ambulance,Equipment,Equipment,,,,1,,,,,none,"Vehicle.
After a combat between this acting minion and a blocking minion, you may lock the Ambulance to continue the action as if unblocked. If the action is blocked again, burn this card. This minion may lock the Ambulance to attempt to burn an incapacitated imbued as a +1 stealth (D) action. A minion may have only one vehicle.",no,yes
100046,100046:ACTION,Ambush,Action,Action,,,,,,,,,none,(D) Enter combat with a locked minion. This acting minion gets 1 optional maneuver during that combat.,no,yes
102274,102274:MODIFIER,Amici Noctis,Action Modifier,Action Modifier,Lasombra,,,,,,,,none,"Only usable after resolution of a political action whose referendum passed.
For each vote by which the referendum passed, distribute 1 blood from the blood bank among the ready Lasombra you control and your pool. A vampire cannot gain more than 1 blood this way. You cannot gain more than 1 pool this way or more than 2 pool this way if this acting Lasombra is titled.",no,yes
100047,100047:COMBAT:chi,Amria,Combat,Combat,,,Chimerstry,,,,,chi,inferior,"Maneuver, only usable to get to long range.",no,yes
100047,100047:COMBAT:CHI,Amria,Combat,Combat,,,Chimerstry,,,,,CHI,superior,"Strike: dodge, with 1 optional press, only usable to end combat.",no,yes
100048,100048:EQUIPMENT,Amulet of Temporal Perception,Equipment,Equipment,,,,,,,,,none,"Unique.
This vampire can burn 1 blood to play a card requiring Temporis [tem] as if they had basic Temporis. This equipment can be used only once each turn.",no,yes
100049,100049:MASTER,Amusement Park Hunting Ground,Master,Master,Brujah antitribu,,,2,,,,,none,"Master: unique location. Hunting ground.
During your unlock phase, you may move 1 blood from the blood bank to a ready vampire you control. A vampire can gain blood from only one hunting ground card each turn.",no,yes
100050,100050:MASTER,Anachronism,Master,Master,,,,1,,,,,none,"Master.
Put this card on a vampire with capacity above 6. This vampire cannot have or use any ranged weapons except the Ivory Bow. (If he or she currently has any, they are burned.)",no,yes
100051,100051:ALLY,Ananasi Vampirephile,Ally,Ally,Guruhi,,,4,,,,,none,"Werewolf with 4 life. 2 strength, 1 bleed.
Ananasi gets an optional maneuver each combat. Once each combat, she can burn a life during the press step to get a press and set the range in the next round of that combat, if any. She can gain a life as a +1 stealth action. Once each turn, she may play a card that requires basic Animalism [ani] as a vampire.",no,yes
100052,100052:MASTER,"Anarch Free Press, The",Master,Master,,,,1,,,,,none,"Unique. Requires a ready Anarch.
Put this card in play. You can lock this card to give an Anarch you control +1 intercept. You can lock this card after an Anarch successfully hunts to add 1 blood to that Anarch.",no,yes
100053,100053:EQUIPMENT,"Anarch Manifesto, An",Equipment,Equipment,,,,,,,,,none,"Equipment.
The anarch with this equipment gets +1 stealth on actions that require an anarch. Titled non-Anarch vampires get +1 strength in combat with this minion. A minion may have only one Anarch Manifesto.",no,yes
100054,100054:MASTER,Anarch Railroad,Master,Master,,,,2,,,,,none,"Unique location.
You can lock this card to give an Anarch +1 stealth.",no,yes
100055,100055:MASTER,Anarch Revolt,Master,Master,,,,,,,,,none,Put this card in play. A Methuselah not controlling a ready Anarch burns 1 pool during their unlock phase. Vampires can call a referendum to burn this card as a +1 stealth political action.,no,yes
100056,100056:POLITICAL,Anarch Salon,Political Action,Political Action,,,,,,,,,none,"Requires an Anarch.
Successful referendum means each ready Anarch gains 1 blood and each Methuselah controlling an Anarch gains 1 pool.",no,yes
100057,100057:ACTION,Anarch Secession,Action,Action,,,,,,,,,none,"+1 stealth action. Requires a ready, non-anarch, titled vampire.
This vampire becomes Anarch. If he or she had a city title, put this card on him or her as a title card to represent the title of baron of the same city. Minions without titles cannot block this action.",no,yes
100058,100058:MASTER,Anarch Troublemaker,Master,Master,,,,,,,,,none,"Unique.
Put this card in play. During your unlock phase, you can give your prey control of the Anarch Troublemaker and either lock up to two vampires they control or burn an equipment on one of their minions.",no,yes
100059,100059:POLITICAL,Anarchist Uprising,Political Action,Political Action,,,,,,,,,none,Successful referendum means each Methuselah burns 1 pool for each minion they control.,no,yes
100060,100060:POLITICAL,Anathema,Political Action,Political Action,,,,,,,,,none,"Requires a prince or justicar.
Choose a ready vampire. Successful referendum means this card is put on the chosen vampire. If the attached vampire's blood is reduced to 0 in combat, the attached vampire is burned and the Methuselah controlling the opposing minion gains pool equal to the attached vampire's capacity.",no,yes
100061,100061:MASTER,Ancestor Spirit,Master,Master,,,,,,,,,none,"Unique master.
Put this card on a Laibon with capacity above 4. This Laibon has +1 bleed and gets an additional vote in any referendum he or she calls.",no,yes
100062,100062:REACTION:aus,Ancestor's Insight,Action Modifier/Reaction,Reaction,,,Auspex,,,,,aus,inferior,"Requires a ready Laibon.
Reduce a bleed against you by 1.",no,yes
100062,100062:MODIFIER:AUS,Ancestor's Insight,Action Modifier/Reaction,Action Modifier,,,Auspex,,,,,AUS,superior,"Requires a ready Laibon.
Only usable during a bleed action. +1 bleed (limited).",no,yes
100063,100063:EQUIPMENT,"Ancestor's Talisman, The",Equipment,Equipment,Assamite,,,,,,,,none,"Unique.
The bearer gets +1 intercept during actions requiring Dominate [dom] or Presence [pre].",no,yes
100064,100064:POLITICAL,Ancient Influence,Political Action,Political Action,,,,,,,,,none,"Only one Ancient Influence can be played or called in a game.
Successful referendum means each Methuselah can choose a ready vampire they control. Each Methuselah gains pool equal to their chosen vampire's capacity, then burns 5 pool.",no,yes
100065,100065:POLITICAL,Ancilla Empowerment,Political Action,Political Action,,,,,,,,,none,Successful referendum means each Methuselah burns 1 pool for each minion they control.,no,yes
100066,100066:COMBAT:aus,Anesthetic Touch,Combat,Combat,,,Obeah/Auspex,,,,,aus,inferior,"Only usable at close range.
Strike: dodge.",no,yes
100066,100066:COMBAT:obe,Anesthetic Touch,Combat,Combat,,,Obeah/Auspex,,,,,obe,inferior,"Only usable at close range.
Strike: hand strike. Combat ends immediately after the resolution of this strike.",no,yes
100066,100066:COMBAT:OBE,Anesthetic Touch,Combat,Combat,,,Obeah/Auspex,,,,,OBE,superior,"Only usable at close range.
Strike: hand strike. Combat ends immediately after the resolution of this strike, with first strike.",no,yes
100067,100067:MASTER,Angel of Berlin,Master,Master,,,,,,,,,none,"Master: out-of-turn. Requires a ready imbued.
Unlock an imbued, or equip a ready imbued you control with an equipment from your hand (requirements must be met; pay cost as normal). Not usable during combat.",no,yes
102349,102349:COMBAT:1,Angel's Gift,Combat,Combat,Salubri,,,,,,,,none,"Only usable before range is determined. A vampire can play only one Angel's Gift each round.
Equip this vampire with a melee weapon from your hand (requirements and cost apply as normal).",no,yes
102349,102349:COMBAT:2,Angel's Gift,Combat,Combat,Salubri,,,,,,,,none,"Only usable before range is determined. A vampire can play only one Angel's Gift each round.
This round, this vampire gets 1 optional maneuver, only usable to get to close range.",no,yes
100068,100068:ACTION:aus,Anima Gathering,Action,Action,,,Auspex,,,,,aus,inferior,"+1 stealth action.
Put this card on this acting vampire and choose another minion you control. Burn this card if this minion unlocks. During your unlock phase, you may choose not to unlock this minion as normal. The chosen minion gets +2 intercept.",no,yes
100068,100068:ACTION:AUS,Anima Gathering,Action,Action,,,Auspex,,,,,AUS,superior,"+1 stealth action.
Put this card on this acting vampire and choose another minion you control. Burn this card if this minion unlocks. During your unlock phase, you may choose not to unlock this minion as normal. The chosen minion gets +2 intercept, and the chosen minion also gets +1 bleed.",no,yes
100069,100069:MODIFIER:ani+obf,Animal Magnetism,Action Modifier,Action Modifier,,,Animalism & Obfuscate,,,,,ani+obf,inferior,"Only usable during a referendum.
This vampire gains 1 vote.",no,yes
100069,100069:MODIFIER:ANI+OBF,Animal Magnetism,Action Modifier,Action Modifier,,,Animalism & Obfuscate,,,,,ANI+OBF,superior,"Only usable during a referendum.
This vampire gains 3 votes.",no,yes
100070,100070:MASTER,Animalism,Master,Master,,,,,,,,,none,"Discipline.
Put this card on a vampire. This vampire gets +1 level of Animalism [ani] and +1 capacity. Cannot be put on a vampire with superior Animalism [ANI].",no,yes
100071,100071:EQUIPMENT,"Ankara Citadel, Turkey, The",Equipment,Equipment,Tremere,,,,2,,,,none,"While in play, this equipment card represents a location and does not count as equipment. Unique.
Non-action modifier cards costing blood cost this vampire half as much blood to play, rounded down (multiplication and division are handled first, followed by addition and subtraction).",no,yes
100072,100072:ACTION,Anonymous Freight,Action,Action,,,,,,,,,none,"+3 stealth equip action. Requires a vampire.
Equip this vampire with a non-location equipment card from your hand (requirements and cost apply as normal).",no,yes
100073,100073:MASTER,Antediluvian Awakening,Master,Master,,,,,,,,,none,"Unique.
Put this card in play. During each Methuselah's unlock phase, that Methuselah burns 1 pool unless they burn a vampire they control with capacity 4 or more to burn this card.",no,yes
100074,100074:EVENT,"Anthelios, The Red Star",Event,Event,,,,,,,,,none,"Gehenna.
Once each master phase, a Methuselah can use a master phase action to exchange a master card in his or her hand for one in his or her ash heap.",no,yes
102350,102350:COMBAT:aus,Anticipation,Combat,Combat,Salubri,,Auspex,,,,,aus,inferior,Strike: hand strike or use a melee weapon strike. This strike is at +2 damage.,no,yes
102350,102350:COMBAT:AUS,Anticipation,Combat,Combat,Salubri,,Auspex,,,,,AUS,superior,"Burn 1 blood to cancel the opposing minion's strike card as it is played, and its cost is not paid (the minion chooses a strike again).",no,yes
100075,100075:ACTION,Antithesis,Action,Action,,,Judgment,,,,,,none,"+3 stealth action.
(D) Put this card on a non-Sabbat vampire with capacity less than 8. The vampire with this card cannot hunt. If he or she must hunt, he or she locks and goes to torpor instead. Burn this card during this vampire's discard phase.",no,yes
100076,100076:COMBAT:chi,Apparition,Combat,Combat,,,Chimerstry,,1,,,chi,inferior,"Do not replace until after combat.
This vampire can prevent 1 damage each round this combat.",no,yes
100076,100076:COMBAT:CHI,Apparition,Combat,Combat,,,Chimerstry,,1,,,CHI,superior,"Do not replace until after combat.
This vampire can prevent 2 damage each round this combat.",no,yes
100077,100077:COMBAT:tha,Apportation,Combat,Combat,,,Thaumaturgy,,,,,tha,inferior,"Press, only usable to continue combat.",no,yes
100077,100077:COMBAT:THA,Apportation,Combat,Combat,,,Thaumaturgy,,,,,THA,superior,Maneuver.,no,yes
100078,100078:MODIFIER:pre,Approximation of Loyalty,Action Modifier,Action Modifier,,,Presence,,1,,,pre,inferior,"Requires a vampire with capacity 7 or more.
Only usable as the action is announced. Choose a vampire with capacity 6 or less or an ally. That minion cannot block this action.",no,yes
100078,100078:MODIFIER:PRE,Approximation of Loyalty,Action Modifier,Action Modifier,,,Presence,,1,,,PRE,superior,"Requires a vampire with capacity 7 or more.
Cancel a reaction card played by a vampire with capacity 6 or less or an ally as it is played (no cost is paid). No more action modifiers can be played on this action.",no,yes
